italian,english
cosa,thing
anno,year
uomo,man
giorno,day
volta,time
casa,home
parte,part
vita,life
tempo,time
donna,woman
mano,hand
occhio,eye
ora,now
signore,Mr.
paese,country, town
momento,moment
modo,way
mondo,world
parola,word
padre,father
punto,point
lavoro,work
stato,state
caso,case
città,city
guerra,war
strada,street
figlio,son
notte,night
voce,voice
nome,name
sera,evening
acqua,water
amico,friend
fatto,done
gente,people
amore,love
storia,history
aria,air
forza,power
testa,head
ragione,reason
mare,sea
mese,month
capo,head
luce,light
sole,Sun
famiglia,family
piede,foot
persona,person
via,street
signora,Mrs
governo,government
senso,sense
opera,Opera
prodotto,product
festa,party
gioco,game
prova,test
campagna,countryside
fiore,flower
sala,room, hall
misura,measure
posizione,position
natura,nature
ufficio,office
specie,species
successo,success
zona,area
fuoco,fire
soldato,soldier
vista,view
libertà,freedom
risultato,result
importanza,importance
dubbio,doubt
ricerca,Research
dio,God
figura,figure
piazza,square
questione,question
nemico,enemy
pena,punishment
motivo,reason
esperienza,experience
ricordo,memory
albero,tree
politica,policy
processo,process
vino,wine
porta,door
sud,south
sogno,dream
cane,dog
isola,island
movimento,movement
mente,mind
occasione,opportunity
prezzo,price
causa,cause
periodo,period
sviluppo,development
sorella,sister
effetto,effect
giardino,garden
attività,activities
volontà,will
volto,face
base,basis
carattere,character
coscienza,consciousness
guardia,guard
memoria,memory
terreno,ground
animale,animal
direzione,direction
eccellenza,excellence
malattia,disease
scienza,science
funzione,function
conseguenza,result
parete,wall
dente,tooth
distanza,distance
gusto,taste
impressione,impression
istituto,institute
quadro,painting
attenzione,attention
autore,author
difficoltà,difficulty
passione,passion
commissione,commission
dito,finger
inizio,Start
programma,program
spettacolo,show
titolo,title
comunicazione,communication
fenomeno,phenomenon
maggio,May
stampa,press
denaro,money
destino,destiny
dovere,duty
ferro,iron
punta,tip
regno,kingdom
epoca,era
luna,moon
provincia,province
voglia,wish
differenza,difference
controllo,control
grazia,grace
passato,past
spazio,space
stella,star
corsa,race
erba,grass
massa,mass
origine,origin
polizia,police
soluzione,solution
chilometro,kilometer
madre,mother
paura,fear
cuore,heart
idea,idea
fondo,background
