Italiano,English
essere,to be
avere,to have
fare,to do, to make
dire,to say
potere,can
volere,want
sapere,to know
stare,to stay
dovere,must
vedere,to see
andare,to go
venire,to come
dare,to give
parlare,to speak
trovare,to find
sentire,to feel, to hear
lasciare,to leave
prendere,to take
guardare,to look
mettere,to put
pensare,to think
passare,to pass
credere,to believe
portare,to bring
parere,to seem
tornare,to return
sembrare,to seem, to look like
tenere,to keep
capire,to understand
morire,to die
chiamare,to call
conoscere,to know
rimanere,to stay
chiedere,to ask
cercare,to search for
entrare,to come in
vivere,to live
aprire,to open
uscire,to go out
ricordare,to remember
bisognare,need
cominciare,to begin
rispondere,to answer, to reply
aspettare,to wait
riuscire,to succeed
chiudere,to close
finire,to finish
arrivare,to arrive
scrivere,to write
diventare,to become
restare,to remain
seguire,to follow
bastare,to suffice
perdere,to lose
rendere,to make (big, small..)
correre,to run
salvare,to save
vestire,to dress
costruire,to build
camminare,to walk
ritrovare,to find again
durare,to last
accendere,to turn on
evitare,to avoid
immaginare,to imagine
ridurre,to reduce
contenere,to contain
fissare,to fix
costringere,to force
abbandonare,to abandon
attendere,to wait for
preferire,to prefer
scegliere,to choose
avvertire,to warn
proporre,to propose
temere,to fear
esprimere,to express
spingere,to push
salutare,to greet
udire,to hear
difendere,to stick up for
dirigere,to direct
cantare,to sing
sorgere,to rise
assicurare,to ensure
assumere,to hire
tendere,to tend
dividere,to divide
scusare,to excuse
mantenere,to maintain
ritenere,to consider
concludere,to conclude
saltare,to jump
stabilire,to establish
appartenere,to belong
possedere,to possess
risultare,to result
suonare,to play
coprire,to cover up
insegnare,to teach
affermare,to assert
rivelare,to reveal
conservare,to preserve
risolvere,to solve
concedere,to grant
limitare,to limit
abitare,to live
convincere,to convince
comprare,to buy
legare,to tie
sostenere,to sustain
nascere,to be born
presentare,to introduce
trattare,to deal
piacere,to like
continuare,to continue
partire,to leave
servire,to serve
giungere,to reach
fermare,to stop
apparire,to appear
amare,to love
esistere,to exist
intendere,to hear
salire,to go up
mancare,to miss
ridere,to laugh
lavorare,to work
alzare,to raise up
riconoscere,to recognize
sedere,to sit down
leggere,to read
cadere,to fall
mangiare,to eat
dormire,to sleep
raggiungere,to reach
comprendere,to understand
scendere,to alight
compiere,to fulfill
toccare,to touch
considerare,to consider
muovere,to move
stringere,to tighten
mandare,to send
domandare,to ask
ascoltare,to listen
decidere,to decide
ricevere,to receive
osservare,to observe
permettere,to allow
avvenire,to occur
spiegare,to explain
raccogliere,to collect
ottenere,to obtain
offrire,to offer
mostrare,to exhibit
accompagnare,to accompany
dimenticare,to forget
pregare,to pray
raccontare,to tell
bere,to drinking
ritornare,to return
cambiare,to change
dimostrare,to demonstrate
sperare,to hope
sposare,to marry
ammettere,to admit
fuggire,to run away
liberare,to free
riferire,to report
svegliare,to wake up
capitare,to happen
posare,to place
impedire,to prevent
gettare,to throw
vendere,to sell
distinguere,to distinguish
offendere,to offend
rimettere,to return
rompere,to break
godere,to enjoy
imporre,to impose
significare,to mean
desiderare,to desire
divertire,to amuse
volgere,to turn
giudicare,to judge
produrre,to produce
avvicinare,to approach
diffondere,to spread
ordinare,to sort
invitare,to invite
discutere,to discuss
sbagliare,to make a mistake
badare,to look after
tagliare,to cut
pubblicare,to publish
attaccare,to attack
imparare,to learn
prevedere,to forecast
scappare,to run away
spegnere,to switch off
annunciare,to announce
baciare,to kiss
esporre,to expose
attraversare,go across
fornire,to provide
segnare,to mark
superare,to overcome
rivedere,to review
allontanare,to remove
ammazzare,to kill
accogliere,to receive
voltare,to turn
preoccupare,to worry
provocare,to cause
riempire,to fill
partecipare,to take part
piantare,to plant
rientrare,to re-enter
richiedere,to request
nascondere,to hide
ripetere,to repeat
scoprire,to discover
preparare,prepare
scorrere,to slide
rappresentare,to represent
riprendere,to resume
costituire,to constitute
incontrare,to meet
valere,be worth
accorgersi,to notice
provare,to try
formare,to form
uccidere,to kill
tirare,to pull
togliere,to remove
notare,to notice
aggiungere,to add
succedere,to happen
pagare,to pay
tentare,to attempt
accadere,to happen
creare,to create
importare,to import
pesare,to weigh
usare,to use
accettare,to accept
indicare,to indicate
buttare,to throw
battere,to beat
interessare,to interest
sorridere,to smile
condurre,to conduct
disporre,to have
unire,to merge
aiutare,to help
piangere,to cry
girare,to turn
levare,to lift
soffrire,to suffer
recare,to cause
riguardare,to concern
rivolgere,to turn
tacere,to be silent
occorrere,to take
porre,to place
vincere,to win
svolgere,to perform
studiare,to study
crescere,to grow up
divenire,to become
gridare,to shout
dichiarare,to declare
contare,to count
giocare,to play
assistere,to assist
aumentare,to increase
lanciare,to launch
determinare,to determine
scherzare,to joke
elevare,to raise
promettere,to promise
scomparire,to disappear
trarre,to draw
distruggere,to destroy
meritare,to deserve
dedicare,to devote
iniziare,to start
sorprendere,to surprise
trasformare,to commute
confessare,to confess
arrestare,to stop
ringraziare,to thank
riunire,to gather
volare,to fly
fondare,to found
guidare,to drive
ferire,to hurt
opporre,to oppose
procedere,to proceed
smettere,to stop
consentire,to allow
innamorarsi,to fall in love
organizzare,to organize
rifiutare,to reject
riportare,to report
dipendere,to depend
provvedere,to provide
trascinare,to drag
fumare,to smoke
scoppiare,to burst
sognare,to dream
appoggiare,to support
armare,to arm
celebrare,to celebrate
descrivere,to describe
resistere,to resist
bruciare,to burn
colpire,to hit
estendere,to extend
staccare,to remove
affrontare,to face up to
avanzare,to push forward
comporre,to compose
escludere,to exclude
figurare,to appear
insistere,to insist
