Italiano,English
questo,this
quello,one
più,more
tutto,all
suo,his
altro,other
mio,my
quale,which
tanto,much
grande,great
poco,little
molto,very
nostro,our
stesso,same
primo,first
loro,their
ogni,every
proprio,own
solo,only
quanto,how much
bello,beautiful
qualche,some
nuovo,new
certo,of course
vero,TRUE
buono,good
tuo,your
nessuno,nobody
alcuno,any
italiano,Italian
ultimo,last
vecchio,old
piccolo,small
troppo,too much
tale,such
giovane,young
alto,tall
vostro,your
diverso,different
meglio,better
lungo,long
povero,poor
maggiore,greater
mezzo,half
secondo,second
lontano,far
vicino,close
possibile,possible
caro,Dear
pieno,full
nero,black
particolare,particular
bianco,White
forte,strong
politico,politic
attuale,current
latino,Latin
impossibile,impossible
sereno,serene
puro,pure
normale,normal
perfetto,perfect
piano,plan
caratteristico,characteristic
russo,Russian
continuo,continuous
stupido,stupid
estremo,extreme
grigio,Grey
reale,real
interessante,Interesting
medesimo,same
religioso,religious
ampio,large
biondo,blond
ufficiale,official
attento,careful
enorme,huge
sottile,thin
triste,sad
minimo,minimum
privato,private
rapido,rapid
quarto,fourth
diretto,direct
nobile,noble
pericoloso,dangerous
giallo,yellow
pazzo,crazy
sacro,sacred
comodo,comfortable
elettrico,electric
assoluto,absolute
cristiano,Christian
antico,ancient
rosso,red
chiaro,clear
unico,single
sicuro,sure
importante,important
vario,varied
giusto,quite right
francese,French
vivo,I live
generale,general
ricco,rich
grosso,big
necessario,necessary
libero,free
nazionale,national
basso,bass
semplice,simple
grave,serious
pubblico,public
comune,common
freddo,cold
economico,cheap
felice,happy
difficile,difficult
tedesco,German
breve,short
pronto,ready
serio,serious
presente,here I'm
migliore,best
facile,easy
terzo,third
caldo,hot
estero,abroad
largo,wide
pricipale,pricipale
verde,green
romano,Roman
umano,human
inutile,useless
moderno,modern
numeroso,numerous
simile,similar
fresco,fresh
militare,military
americano,American
vuoto,empty
ciascuno,each
tranquillo,quiet
contento,happy
storico,historical
superiore,higher
inglese,English
fermo,stationary
solito,usual
buio,dark
strano,strange
noto,known
prossimo,next one
profondo,deep
sociale,social
cattivo,bad
massimo,maximum
intero,full
uguale,equal
bravo,good boy
brutto,ugly
preciso,accurate
qualsiasi,any
improvviso,sudden
famoso,famous
straniero,foreigner
civile,civil
internazionale,international
interno,internal
vasto,extensive
segreto,secret
greco,Greek
naturale,natural
sinistro,left
duro,hard
stanco,tired
azzurro,light blue
recente,recent
notevole,remarkable
cittadino,citizen
destro,right
europeo,European
zitto,quiet
medio,average
qualunque,whatever
straordinario,extraordinary
nudo,naked
futuro,future
cattolico,Catholic
capace,able
industriale,industrial
personale,staff
centrale,central
tecnico,technical
dolce,sweet
leggero,light
morale,moral
utile,helpful
contrario,contrary
speciale,special
peggio,worse
minore,lower
contadino,farmer
